kid,character,strokes,grade,jlpt,readings,translation,freq,rank
1098,据,11,7,1,す-える、す-わる,-,8837,1462
1595,捻,11,7,-,ネン,pinch (of salt); small gift of money; a twist,751,2003
1232,掃,11,7,2,ソウ、は-く,sweep; brush; gather up,11537,1372
879,授,11,5,1,ジュ、さず-ける、さず-かる,give; grant,100711,488
988,掌,12,7,1,ショウ,rule; administer; conduct,3233,1776
1618,排,11,7,1,ハイ,exclude; expel; reject; push aside; push open; defy; disregard; anti-(Japanese; etc.) ,30280,991
458,掘,11,7,2,クツ、ほ-る,dig; delve; core; excavate; sink (wells); dig up; scoop out; pick (the ear); probe,13532,1318
231,掛,11,7,2,か-ける、か-かる、かかり,-,37182,911
702,採,11,5,2,サイ、と-る,take; hold; seize; catch; capture; fetch; receive; procure; obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick; pluck; make; produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed; catch (fish); deprive of; steal; capture (territory); annex; need; require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess,55808,736
1339,探,11,6,2,タン、さぐ-る、さが-す,search; look for; explore; spy upon; sound out; probe (a wound),33925,951
1158,接,11,5,2,セツ、つ-ぐ,touch; contact; adjoin; receive (visitors); be in receipt of; encounter; experience; draw near ,74969,608
630,控,11,7,1,コウ、ひか-える,draw in; hold back; suspend (judgment); refrain from; be moderate; write; make notes; wait; have; moderate (a report),32818,968
1088,推,11,6,1,スイ、お-す,conjecture,66779,656
1209,措,11,7,1,ソ,give up; suspend; discontinue; lay aside; set apart; except,33820,954
481,掲,11,7,1,ケイ、かか-げる,put up; hang out; hoist; display; publish; insert; describe; mention,50915,768
1727,描,11,7,1,ビョウ、えが-く、か-く,write; compose; draw; paint ,42225,844
1454,提,12,5,1,テイ、さ-げる,take along; carry in the hand,174364,281
1999,揚,12,7,1,ヨウ、あ-げる、あ-がる,praise,12169,1358
266,換,12,7,2,カン、か-える、か-わる,change; turn; convert; exchange; renew; substitute; replace,51195,766
7,握,12,7,1,アク、にぎ-る,grasp; hold; make (sushi balls); assume (power); make (money); get (proof),26582,1032
327,揮,12,6,1,キ,shake; wield; brandish; be invigorated; be spirited; flourish,26137,1039
94,援,12,7,1,エン,help; save,149374,337
2000,揺,12,7,1,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,shake; sway; rock; roll; pitch; tremble; quake; flicker; vibrate; jolt,22011,1102
1282,損,13,5,2,ソン、そこ-なう、そこ-ねる,loss; disadvantage; handicap,47814,794
1673,搬,13,7,1,ハン,carry; transport,7087,1532
1519,搭,12,7,1,トウ,load (a vehicle); ride,7983,1498
489,携,13,7,1,ケイ、たずさ-える、たずさ-わる,carry (in the hand); be armed with; carry along; bring (someone) along,64257,673
730,搾,13,7,1,サク、しぼ-る,wring; squeeze; press; extract; milk; close tight; extort; scold ,952,1976
1161,摂,13,7,1,セツ,act in place of; carry on in addition to,4893,1658
1462,摘,14,7,1,テキ、つ-む,pick; pinch; hold in the fingers; summarize,80949,585
1892,摩,15,7,1,マ,rub; rub off; polish; grind; graze; scrape; be equal to; be about to reach,10857,1394
803,摯,15,7,-,シ,gift; seriousness,1896,1877
503,撃,15,7,1,ゲキ、う-つ,attack; defeat; destroy; conquer,113833,442
1471,撤,15,7,1,テツ,withdraw; disarm (a ship); dismantle (a fort); remove; reject; exclude,31171,984
740,撮,15,7,1,サツ、と-る,pick; pinch; hold in the fingers; summarize ,28791,1009
1882,撲,15,7,1,ボク,strike; hit; beat; knock; slap; punch; thrash; smite; clap (one's hands); beat (a drum); ring (a bell); (clocks) strike; impress; touch; shoot; pound in (a nail); water; sprinkle; braid; play (checkers); till (the soil); temper (a sword); prepare (buckwheat noodles); present (a play); cast (a net); pay (earnest money) ,26983,1026
2010,擁,16,7,1,ヨウ,embrace; hug; possess; protect; lead ,12269,1355
1249,操,16,6,1,ソウ、みさお、あやつ-る,manipulate; operate; steer; pull strings,21705,1108
741,擦,17,7,1,サツ、す-る、す-れる,rub; scour; scrub; scratch; scrape; brush ,2905,1799
347,擬,17,7,1,ギ,aim (a gun) at; nominate for office; imitate; mimic; compare,1644,1901
761,支,4,5,2,シ、ささ-える,branch,288791,159
178,改,7,4,2,カイ、あらた-める、あらた-まる,change; modify; convert; renew; renovate; reform; mend; rectify; amend; revise; improve; examine; inspect; search,234577,199
607,攻,7,7,1,コウ、せ-める,attack; assault,91144,529
1836,放,8,3,2,ホウ、はな-す、はな-つ、はな-れる、ほう-る,set free; release; fire; shoot; circulate (rumors); emit; give out; set fire to; banish ,153676,326
1117,政,9,5,2,セイ、[ショウ]、まつりごと,government; rule,673588,33
566,故,9,5,1,コ、ゆえ,reason; cause; circumstances,87940,540
1734,敏,10,7,1,ビン,agility; alertness,23308,1083
376,救,11,4,2,キュウ、すく-う,save; help; rescue; relieve (suffering); redeem; reclaim,47547,798
1619,敗,11,4,2,ハイ、やぶ-れる,defeat; reversal,180635,272
411,教,11,2,3,キョウ、おし-える、おそ-わる,faith,308288,149
267,敢,12,7,1,カン,sad; tragic; pitiful; frail; feeble; fleeting; unkind,3528,1753
752,散,12,4,2,サン、ち-る、ち-らす、ち-らかす、ち-らかる,scatter; disperse; spend; squander; dispel; dissipate; chase away ,44313,831
485,敬,12,6,2,ケイ、うやま-う,respect; honor; revere,25480,1046
1097,数,13,2,2,スウ、[ス]、かず、かぞ-える,strength; fate; law; numbers; figures; numerical,321551,139
1135,整,16,3,1,セイ、ととの-える、ととの-う,arranging,86828,549
1465,敵,15,5,1,テキ、かたき,enemy; foe; opponent,19080,1170
1755,敷,15,7,1,フ、し-く,spread; pave; sit (on a cushion); lay (a railway); gravel (a road); promulgate; draw up,19991,1144
1786,文,4,1,3,ブン、モン、ふみ,1/100 of a hyakume; crest; figures. literary text; production; composition; sentence; style; literature; art; the pen; civil affairs; decoration; characters; elegance ,388966,101
1116,斉,8,7,1,セイ,equal; similar,21534,1110
705,斎,11,7,1,サイ,Buddhist food; room,19817,1147
1671,斑,12,7,-,ハン,spot,1221,1943
1484,斗,4,7,1,ト,ten sho (1 to = 4.8 gallons (U.S.)= 18 liters); a one-to measure; sake ladle; the Big Dipper,4728,1674
2063,料,10,4,3,リョウ,charge; rate; fee; allowance; materials; measuring,185047,264
849,斜,11,7,1,シャ、なな-め,slanting; oblique,4722,1675
429,斤,4,7,1,キン,1.1/3 pounds; catty; axe,396,2058
1139,斥,5,7,1,セキ,retreat; recede; withdraw,718,2008
757,斬,11,7,-,ザン、き-る,beheading,2237,1853
1350,断,11,5,2,ダン、た-つ、ことわ-る,decision; judgment; cutting,149619,335
1065,新,13,2,3,シン、あたら-しい、あら-た、にい,newness; novelty. new; modern; novel; fresh; neo-,659987,35
1829,方,4,2,3,ホウ、かた,direction; way; side; part; square; way; method; means; scheme; process ,583222,50
787,施,9,7,1,シ、セ、ほどこ-す,give alms; conduct (educational work); carry out; administer (first aid); apply (bandages); perform (an operation),143819,346
2057,旅,10,3,3,リョ、たび,journey; go around,42135,847
1179,旋,11,7,1,セン,go around,3190,1780
1272,族,11,3,3,ゾク,family; relatives; clan; tribe; race,109908,451
333,旗,14,4,1,キ、はた,flag; banner; standard; ensign; pennant; streamer,13950,1303
315,既,10,7,1,キ、すで-に,previously; already; long ago; on the point of; actually,27473,1020
1583,日,4,1,4,ニチ、ジツ、ひ、か,day; Sunday,2817613,1
1334,旦,5,7,1,タン、ダン,dawn; early moring,805,1994
364,旧,5,5,2,キュウ,old things; old times; old friend; old calendar; former; ex-,55161,741
770,旨,6,7,1,シ、むね,relish; show a liking for ,13109,1332
1219,早,6,1,3,ソウ、[サッ]、はや-い、はや-まる、はや-める,quick; fast; speedy; brisk; prompt; early; premature,117986,420
932,旬,6,7,1,ジュン、[シュン],ten-day period. season (for specific products),38096,895
111,旺,8,7,-,オウ,flourishing; successful; beautiful; vigorous,1184,1949
672,昆,8,7,1,コン,descendants; elder brother,2808,1807
970,昇,8,7,2,ショウ、のぼ-る,rise; ascend; go up; climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) ,48108,789
1928,明,8,2,3,メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,clearness; shining; eyesight; discernment. next (week); tomorrow (morning) ,626629,43
78,易,8,5,2,エキ、イ、やさ-しい,easiness; divination; augury; fortunetelling,33742,956
1142,昔,8,3,2,セキ、[シャク]、むかし,antiquity; old times,14731,1282
1118,星,9,2,2,セイ、[ショウ]、ほし,star,56924,724
71,映,9,6,3,エイ、うつ-る、うつ-す、は-える,reflecting; projection,105302,465
930,春,9,2,3,シュン、はる,spring,87078,547
1898,昧,9,7,-,マイ,dark; foolish,378,2062
725,昨,9,4,2,サク,the past; yesterday; last (year),173067,286
973,昭,9,3,1,ショウ,clear; bright,42854,840
1103,是,9,7,1,ゼ,right; justice,13295,1326
1384,昼,9,2,3,チュウ、ひる,daytime; midday,14793,1279
818,時,10,2,4,ジ、とき,hour; o'clock; time; Buddhist sect originating in the thirteenth century ,835363,17
1679,晩,12,6,2,バン,evening; night; the end of all things; late,7374,1518
1753,普,12,7,2,フ,widely; generally,45675,816
486,景,12,4,2,ケイ,view; scene,91762,524
1126,晴,12,2,2,セイ、は-れる、は-らす,clear up; (doubts) vanish; be refreshed,25329,1050
989,晶,12,7,1,ショウ,clear; crystal,8021,1495
421,暁,12,7,1,ギョウ、あかつき,dawn; daybrake; in the event (of),3889,1728
155,暇,13,7,1,カ、ひま,rest; leisure,4561,1688
948,暑,12,3,2,ショ、あつ-い,summer heat,8110,1491
1352,暖,13,6,2,ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,warmth,19156,1167
14,暗,13,3,2,アン、くら-い,dark,20182,1140
2099,暦,14,7,1,レキ、こよみ,calendar; almanac,2928,1798
758,暫,15,7,1,ザン,for a while; for a moment; for a long time,13843,1307
1827,暮,14,6,2,ボ、く-れる、く-らす,live; make a living; spend (one's time) ,36424,920
1871,暴,15,5,2,ボウ、[バク]、あば-く、あば-れる,violence; force; outrage; cruelty,43965,833
1566,曇,16,7,2,ドン、くも-る,cloud up; fog up; become dim; be blurred; be gloomy ,2475,1836
5,曖,17,7,-,アイ,dark; not clear,214,2104
2012,曜,18,2,3,ヨウ,day of the week; light; shining,37050,912
424,曲,6,3,2,キョク、ま-がる、ま-げる,music; tone; melody; composition; fault,44726,827
608,更,7,7,2,コウ、さら、ふ-ける、ふ-かす,a watch of the night,49407,781
946,書,10,2,4,ショ、か-く,handwriting; letter; note; book,328006,134
1233,曹,11,7,1,ソウ,friend,3399,1761
1234,曽,11,7,-,ソウ、[ゾ],once; before; formerly; ever; never(neg.); former; ex-,13354,1324
1306,替,12,7,2,タイ、か-える、か-わる,change; turn; convert; exchange; renew; substitute; replace ,44036,832
708,最,12,4,2,サイ、もっと-も,most,428924,87
513,月,4,1,4,ゲツ、ガツ、つき,moon; month; Monday; month (of the year),960443,12
1972,有,6,3,3,ユウ、ウ、あ-る,possession. being; existence ,180920,271
1766,服,8,3,3,フク,dress; costume; clothes; garment; suit; uniform,39267,882
1423,朕,10,7,-,チン,imperial we,37,2135
2119,朗,10,6,1,ロウ、ほが-らか,clear; bright; serene; melodious; cheerful; sunny ,21814,1107
1865,望,11,4,2,ボウ、モウ、のぞ-む,full moon; hope,89684,537
1406,朝,12,2,3,チョウ、あさ,dynasty; reign; regime; period; epoch; the court ,223992,221
328,期,12,3,2,キ、[ゴ],time; date; period; term; an age; season; session; a stage;  opportunity,373280,107
1876,木,4,1,4,ボク、モク、き、[こ],tree; Thursday,234482,200
1910,未,5,4,2,ミ,not yet. un-; not,73951,611
1904,末,5,4,2,マツ、バツ、すえ,end; powder,100981,486
1886,本,5,1,4,ホン、もと,book; this; the same; the present; the current; main; true; real; regular; normal; counter for long things ,1485252,6
734,札,5,4,2,サツ、ふだ,paper money; counter for bonds; etc,46167,810
866,朱,6,7,1,シュ,cinnabar; vermilion,3998,1720
1877,朴,6,7,1,ボク,simple; plain; docile,6090,1589
304,机,6,6,2,キ、つくえ,desk; table,3114,1782
367,朽,6,7,1,キュウ、く-ちる,decay; rot; remain in seclusion,2168,1861
1099,杉,7,7,1,すぎ,-,28919,1007
718,材,7,4,2,ザイ,log; timber; lumber; wood; material; talent ,87856,541
1279,村,7,1,2,ソン、むら,village; hamlet,248650,186
1262,束,7,4,2,ソク、たば,bundle; sheaf; ream (of paper),35694,933
1012,条,7,5,1,ジョウ,article; clause; item; line; stripe; streak; column (of smoke); ray (of light),87689,542
2022,来,7,2,4,ライ、く-る、きた-る、きた-す,come. since (last month); for (ten days). next (year),314119,145
1613,杯,8,7,2,ハイ、さかずき,cup; glass; toast; congratulatory cup; counter for cupfuls ,60302,692
1504,東,8,2,4,トウ、ひがし,east,710300,30
971,松,8,4,1,ショウ、まつ,pine,161500,310
1665,板,8,3,2,ハン、バン、いた,board; plank; planking; plate; sheet; the stage,64411,672
1143,析,8,7,1,セキ,divide; tear; analyze,27325,1023
1902,枕,8,7,1,まくら,-,2004,1871
2076,林,8,1,2,リン、はやし,forest,83948,572
1897,枚,8,6,2,マイ,counter for thin flat things; page; leaf (of a book); sheet,30084,996
141,果,8,4,2,カ、は-たす、は-てる、は-て,fruit; reward,183069,268
781,枝,8,5,2,シ、えだ,branch; bow; twig; limb,17014,1227
2134,枠,8,7,1,わく,-,34922,938
1095,枢,8,7,1,スウ,pivot; door,3229,1778
567,枯,9,7,2,コ、か-れる、か-らす,wither; die; be dead; age; be seasoned; fog up,3373,1763
145,架,9,7,1,カ、か-ける、か-かる,frame; mount; stand; support; hang up; shelf,6608,1562
1793,柄,9,7,1,ヘイ、がら、え,handle; crank; grip; hilt; shaft; knob; spoke (of steering wheel on a ship) ,20096,1143
1861,某,9,7,1,ボウ,one; a certain; that person; that thing  ,708,2011
1176,染,9,6,1,セン、そ-める、そ-まる、し-みる、し-み,be dyed; be imbued with; be tainted with,45259,819
911,柔,9,7,2,ジュウ、ニュウ、やわ-らか、やわ-らかい,weakness; gentleness; softness,19223,1165
1385,柱,9,3,2,チュウ、はしら,cylinder; supports for strings on a lute; pillar; post,16782,1234
2049,柳,9,7,1,リュウ、やなぎ,willow,34665,941
726,柵,9,7,-,サク,stockade; fence; palisade,711,2010
685,査,9,5,2,サ,investigate,269288,168
209,柿,9,7,-,かき,-,2994,1792
1557,栃,9,7,-,[とち],-,22600,1096
72,栄,9,4,2,エイ、さか-える、は-え、は-える,prosperity; glory; splendor; honor,35458,936
1178,栓,10,7,1,セン,bolt; stopper; cork; plug; ear plug; bung; faucet; peg ,1444,1917
623,校,10,1,4,コウ,school; (printing) proof; comparison; correction; investigation,226338,212
243,株,10,6,1,かぶ,-,124760,403
215,核,10,7,1,カク,nucleus; core; seed; kernel,79956,589
674,根,10,3,2,コン、ね,root (of a plant); root; radical (in science and math); stamina ,82891,577
214,格,10,5,2,カク、[コウ],status; rank; capacity; character; standard; a rule; a case (in law); case (in grammer),158523,318
700,栽,10,7,1,サイ,planting,6341,1579
505,桁,10,7,-,けた,-,162,2115
1511,桃,10,7,1,トウ、もも,peach,4926,1657
13,案,10,4,1,アン,proposition; suggestion; plan; idea; opinion; expectation; bill; draft; measure; table,182072,270
1230,桑,10,7,1,ソウ、くわ,mulberry,6610,1560
114,桜,10,5,1,オウ、さくら,flowering cherry; cherry blossoms; pink color; horse meat,20657,1126
747,桟,10,7,1,サン,crosspiece; cleat; frame; door bolt; shelf; jetty; suspension bridge,902,1983
1624,梅,10,4,1,バイ、うめ,plum; plum tree,17449,1211
631,梗,11,7,-,コウ,for the most part; close up,2201,1856
1571,梨,11,7,-,なし,-,17318,1214
185,械,11,4,2,カイ,fetters; machine; instrument,7760,1506
331,棄,13,7,1,キ,throw away; discard; abandon; desert; give up; renounce; relinquish; resign; lay down (one’s life); part with; sacrifice; reject; condemn,41725,854
329,棋,12,7,1,キ,Japanese chess,32955,967
1868,棒,12,6,2,ボウ,stick; cane; rod; pole; stake; pile; club; bar; line; dash,9428,1445
1331,棚,12,7,1,たな,-,12879,1339
1520,棟,12,7,1,トウ、むね、[むな],ridge; ridgepole; counter for buildings,10052,1427
1061,森,12,1,2,シン、もり,woods; grove,117996,419
268,棺,12,7,1,カン,casket; coffin,971,1970
31,椅,12,7,1,イ,chair,4614,1683
1032,植,12,3,2,ショク、う-える、う-わる,planting,41556,857
1428,椎,12,7,-,ツイ,hammer; mallet,3187,1781
531,検,12,5,2,ケン,investigation,212504,235
422,業,13,3,3,ギョウ、ゴウ、わざ,vocation; occupation; business; trade; profession; industry; undertaking; studies; arts; conduct; act; service; achievement,606730,46
426,極,12,4,2,キョク、ゴク、きわ-める、きわ-まる、きわ-み,end; highest rank; the poles; (electric) poles,71754,627
190,楷,13,7,-,カイ,square-character style; straight tree; correctness; rule; model,262,2094
2122,楼,13,7,1,ロウ,tower; turret; lookout; high building,1582,1908
228,楽,13,2,3,ガク、ラク、たの-しい、たの-しむ,music; comfort; ease; relief; pleasure; concluding program,151158,330
206,概,14,7,1,ガイ,approximation; condition; situation,11440,1376
641,構,14,5,2,コウ、かま-える、かま-う,build; keep house; take a posture; assume an attitude; pose as; be ready for; feign; pretend; set up (camp) ,121750,410
2005,様,14,3,2,ヨウ、さま,way; manner; method; kind; class; (to that) effect ,87077,548
1247,槽,15,7,1,ソウ,tub; tank; vat,2452,1837
1723,標,15,4,1,ヒョウ,signpost; mark; target; designate,64993,668
1940,模,14,6,1,モ、ボ,copy; imitate; mock,68951,642
536,権,15,6,2,ケン、[ゴン],authority; power; rights; concession,446386,81
117,横,15,3,2,オウ、よこ,horizontal,138234,356
882,樹,16,6,1,ジュ,tree; wood,51575,763
414,橋,16,3,2,キョウ、はし,bridge,114752,439
337,機,16,4,2,キ、はた,opportunity; occasion; time; machine; airplane,341144,127
2034,欄,20,7,1,ラン,column (in a newspaper); blank; space; railing,7275,1522
506,欠,4,4,2,ケツ、か-ける、か-く,lack; gap,48044,791
809,次,6,3,2,ジ、シ、つ-ぐ、つぎ,order; sequence; times; next; below ,230245,209
112,欧,8,7,2,オウ,Europe,81706,583
2016,欲,11,6,2,ヨク、ほっ-する、ほ-しい,covetousness; greed; passion; desire; craving; appetite ,27227,1024
342,欺,12,7,1,ギ、あざむ-く,deceive; cheat; delude,12533,1344
269,款,12,7,1,カン,article; section; goodwill; friendship; collusion,1774,1889
159,歌,14,2,3,カ、うた、うた-う,sing; recite; chant; carol,95151,504
280,歓,15,7,1,カン,joy; pleasure,16949,1230
762,止,4,2,3,シ、と-まる、と-める,stop; halt; stand still; pull up; cease; be interrupted; be discontinued; be choked; alight on; perch; roost; be held in position,189270,261
1106,正,5,1,3,セイ、ショウ、ただ-しい、ただ-す、まさ,right; righteousness; justice; original; plus; positive; genuine. just; punctual; senior. Regular,313748,146
1760,武,8,5,2,ブ、ム,military affairs; military arts; chivalry; military glory; military power; arms,141828,352
1817,歩,8,2,3,ホ、ブ、[フ]、ある-く、あゆ-む,step; pace; foot soldier. rate; six feet square; tsubo; change of winning. pawn (in Japanese chess) ,117776,421
795,歯,12,3,2,シ、は,tooth; age,23542,1080
713,歳,13,7,2,サイ、[セイ],year; age; time; occasion; opportunity; limit; vicinity ,224298,220
2100,歴,14,4,2,レキ,history; continuation; passing (of time),85808,557
771,死,6,3,3,シ、し-ぬ,death,236326,197
936,殉,10,7,1,ジュン,die a martyr; follow (someone) by committing suicide; follow in resigning,1336,1929
870,殊,10,7,1,シュ、こと,especially; exceptionally; above all ,13237,1328
756,残,10,4,2,ザン、のこ-る、のこ-す,remainder; balance,125250,399
1033,殖,12,7,1,ショク、ふ-える、ふ-やす,increase,8812,1465
113,殴,8,7,1,オウ、なぐ-る,hit; beat; thrash,6653,1557
1349,段,9,6,2,ダン,steps; stair; flight of stairs; column; paragraph; act; scene; case; question; grade; class; rank; level; degree; extent ,128815,387
738,殺,10,4,2,サツ、[サイ]、[セツ]、ころ-す,kill; murder; butcher; waste (money); suppress (anger); hold (breath); put off; strike out ,114950,437
216,殻,11,7,1,カク、から,husk; hull; nutshell; cast-off skin; tofu refuse; corpse; earth's crust,2665,1820
1482,殿,13,7,2,デン、テン、との、どの,hall; mansion; palace; temple; rear guard ,10458,1411
332,毀,13,7,-,キ,break; destroy; demolish,271,2089
1823,母,5,2,4,ボ、はは,mother; cause; motive,90001,534
1895,毎,6,2,4,マイ,each; every; at an interval of; whenever. Apiece,138919,353
1554,毒,8,4,2,ドク,poison; virus; venom; germ; toxin; harm; injury; malice; spite,14910,1274
1683,比,4,5,2,ヒ、くら-べる,ratio; comparison; an equal; a match ,122659,407
1941,毛,4,2,2,モウ、け,hair; tenth of a rin,15919,1257
763,氏,4,4,1,シ、うじ,Mr.; family; clan ,355926,119
1918,民,5,4,2,ミン、たみ,people; nation; subjects,634153,40
305,気,6,1,4,キ、ケ,spirit; mind; soul; heart; intention; bent; interest; mood; feeling; temper; disposition; nature; care; attention; air; atmosphere; flavor; odor; energy; essence; indications; symptoms; taste; touch; dash; shade; trace; spark; flash; suspicion,387806,102
1081,水,4,1,4,スイ、みず,water; ice water; Wednesday,230561,208
1717,氷,5,3,2,ヒョウ、こおり、ひ,freeze; be frozen over; congeal,10116,1424
68,永,5,5,2,エイ、なが-い,long; lengthy,42048,849
1657,氾,5,7,-,ハン,spread out; wide,158,2117
908,汁,5,7,1,ジュウ、しる,juice,4464,1692
369,求,7,4,2,キュウ、もと-める,want; wish for; request; demand; seek; search for; pursue (pleasure); hunt (a job); buy,199081,253
1660,汎,6,7,-,ハン,pan-,767,2002
250,汗,6,7,2,カン、あせ,be sweaty,6422,1574
104,汚,6,7,2,オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い,make dirty; stain; pollute; defile; contaminate; disgrace; dishonor; rape,20199,1138
601,江,6,7,1,コウ、え,inlet; bay,69216,640
1356,池,6,2,2,チ、いけ,pond; pool; cistern; basin; reservoir,47798,795
1286,汰,7,7,1,タ,luxury; select,828,1990
509,決,7,3,2,ケツ、き-める、き-まる,decision; vote,512014,66
309,汽,7,2,1,キ,vapor; steam,1375,1924
2014,沃,7,7,-,ヨク,pour; fertility,80,2131
1421,沈,7,7,2,チン、しず-む、しず-める,aloes,14895,1275
1379,沖,7,7,1,チュウ、おき,offing; open sea,55452,739
684,沙,7,7,1,サ,sand,5326,1632
1883,没,7,7,1,ボツ,sink; set; go down; hide; be hidden; fall into; disappear; die. rejection of manuscript; deceased ,12911,1337
1320,沢,7,7,1,タク、さわ,swamp; blessing,124565,404
142,河,8,5,2,カ、かわ,river; stream,50828,771
1775,沸,8,7,2,フツ、わ-く、わ-かす,boil; get hot; ferment; seethe; be in an uproar; gush out; grow; breed; be hatched ,4793,1667
1964,油,8,3,2,ユ、あぶら,oil,59563,698
816,治,8,4,2,ジ、チ、おさ-める、おさ-まる、なお-る、なお-す,peace; government. cure; heal; rule; conserve (resources). govern; manage; regulate; quell; subdue; patch up; heal,292395,157
972,沼,8,7,1,ショウ、ぬま,swamp; lake,18607,1182
89,沿,8,6,1,エン、そ-う,following along,15270,1265
402,況,8,7,2,キョウ,still more; still less (neg.),69500,638
1173,泉,9,6,2,セン、いずみ,spring; fountain (head); source,97182,498
1633,泊,8,7,2,ハク、と-まる、と-める,(three-day) stay,15276,1264
1713,泌,8,7,1,ヒツ、ヒ,flow; soak in; penetrate; secrete,2027,1868
1837,法,8,4,2,ホウ、[ハッ]、[ホッ],law; rule; principle; legislation; regulation; code; method; way; model; manner; system; process; art; technique; rites; religion; doctrine; reason; mood (of verbs) ,440454,82
1838,泡,8,7,1,ホウ、あわ,bubble; foam; froth; scum; suds ,4698,1679
1605,波,8,3,2,ハ、なみ,wave,56685,728
371,泣,8,4,2,キュウ、な-く,cry; weep; wail; moan,12445,1350
1459,泥,8,7,2,デイ、どろ,mud; mire,6089,1590
1383,注,8,3,3,チュウ、そそ-ぐ,notes; comment; N.B.,92991,514
1302,泰,10,7,1,タイ,calm ;peace; easy; large; wide,19099,1169
69,泳,8,3,2,エイ、およ-ぐ,swim; totter; keep afloat; get along,18982,1174
1995,洋,9,3,3,ヨウ,ocean; sea; channel. foreign; Western; European,82908,576
1175,洗,9,6,2,セン、あら-う,wash; inquire into; probe ,19250,1161
1537,洞,9,7,1,ドウ、ほら,cavity,5744,1608
1050,津,9,7,1,シン、つ,port; harbor; ferry,66225,658
616,洪,9,7,1,コウ,flood; vast,3102,1783
234,活,9,2,2,カツ,living; being helped; resuscitation,243149,190
1606,派,9,6,1,ハ,group; party; clique; faction; sect; school (of art; etc.),167524,296
2050,流,10,3,2,リュウ、[ル]、なが-れる、なが-す,current; counter for flags,161604,309
1016,浄,9,7,1,ジョウ,clean; clear; pure; innocent; noble,8463,1478
1174,浅,9,4,2,セン、あさ-い,shallow; superficial; short (time); slight (connection); pale; light (color),23325,1082
1730,浜,10,7,1,ヒン、はま,beach; seashore; fishing village,101829,479
65,浦,10,7,1,うら,-,49738,779
2120,浪,10,7,1,ロウ,waves; billows,9388,1447
1749,浮,10,7,2,フ、う-く、う-かれる、う-かぶ、う-かべる,float; be floated; rise to the surface; be cheered up; be set on edge; feel loose (teeth); be left over; be saved ,44612,828
2015,浴,10,4,2,ヨク、あ-びる、あ-びせる,bathe; be favored with; bask in ,19247,1163
182,海,9,2,3,カイ、うみ,sea; ocean,253912,183
1055,浸,10,7,1,シン、ひた-す、ひた-る,soak; dip; steep; immerse; moisten; wet; dunk; drench,9359,1449
976,消,10,3,2,ショウ、き-える、け-す,extinguish; blow out; turn off; erase; cross out; neutralize (odors or poisons); deaden (noise); cancel (in fractions) ,132050,373
2083,涙,10,7,2,ルイ、なみだ,tear; sympathy,14137,1299
201,涯,11,7,1,ガイ,shore,5496,1625
81,液,11,5,2,エキ,liquid; fluid; juice; sap; secretion,16315,1245
2064,涼,11,7,2,リョウ、すず-しい、すず-む,cool,5234,1637
921,淑,11,7,1,シュク,graceful; polite; gentle; pure,2736,1815
1340,淡,11,7,1,タン、あわ-い,light; faint; pale; fleeting; a little,8092,1492
53,淫,11,7,-,イン、みだ-ら,lewdness; licentiousness,195,2107
1058,深,11,3,2,シン、ふか-い、ふか-まる、ふか-める,deep,84163,570
676,混,11,5,2,コン、ま-じる、ま-ざる、ま-ぜる、こ-む,mix; blend; adulterate; confound; confuse ,36692,916
1477,添,11,7,1,テン、そ-える、そ-う,accompany; marry; be added to; suit; meet; satisfy; be adjusted to,17578,1206
1123,清,11,4,2,セイ、[ショウ]、きよ-い、きよ-まる、きよ-める,China; Manchu (dynasty),70246,632
236,渇,11,7,1,カツ、かわ-く,thirst,1497,1915
703,済,11,6,2,サイ、す-む、す-ます,end; do without; avoid; be excusable; need not,193637,257
983,渉,11,7,1,ショウ,cross; ford; ferry; be imported; change hands; make one's way through life; sweep across; migrate; be provided,174306,282
914,渋,11,7,1,ジュウ、しぶ、しぶ-い、しぶ-る,hesitate; be reluctant; have loose painful bowel movements ,24000,1074
482,渓,11,7,1,ケイ,valley,2118,1863
554,減,12,5,2,ゲン、へ-る、へ-らす,decrease; decline,175018,280
1490,渡,12,7,2,ト、わた-る、わた-す,cross; ford; ferry; be imported; change hands; make one's way through life; sweep across; migrate; be provided ,90347,533
152,渦,12,7,1,カ、うず,eddy; whirlpool; vortex,2615,1822
129,温,12,3,2,オン、あたた-か、あたた-かい、あたた-まる、あたた-める,warm; heat,62533,680
1270,測,12,5,2,ソク、はか-る,measure; gauge; weigh; fathom; sound; compute; estimate,40780,872
635,港,12,3,2,コウ、みなと,port; harbor,72472,621
570,湖,12,3,2,コ、みずうみ,lake,16688,1235
