kid,character,strokes,grade,jlpt,readings,translation,freq,rank
443,吟,7,7,1,ギン,singing; recital; song; poem,1599,1906
1686,否,7,6,2,ヒ、いな,no; noes,68430,648
293,含,7,7,2,ガン、ふく-む、ふく-める,hold in the mouth; bear in mind; understand; cherish; harbor; contain; comprise; have; hold; include; embrace; be charged or loaded with; be dripping with; be full of; be suffused with,85032,564
366,吸,6,6,2,キュウ、す-う,inhale; imbibe; sip; suck; suck out,20591,1128
1082,吹,7,7,2,スイ、ふ-く,breathe; blow; play (a wind instrument); emit; smelt; mint; brag ,19074,1171
2110,呂,7,7,1,ロ,backbone,8251,1487
1438,呈,7,7,1,テイ,offer; present; send (a letter);  exhibit; develop (symptoms); assume (airs),6591,1564
579,呉,7,7,1,ゴ,give; do (something) for,5540,1622
658,告,7,4,2,コク、つ-げる,tell; inform; announce; proclaim; bid; order ,232580,203
888,周,8,4,2,シュウ、まわ-り,circuit; lap; circumference; vicinity; Chou (dynasty) ,74380,610
878,呪,8,7,1,ジュ、のろ-う,spell; curse; incantation,1326,1931
1911,味,8,3,3,ミ、あじ、あじ-わう,taste; flavor; dash; touch; tinge; counter for foods and drinks  ,112407,446
560,呼,8,6,2,コ、よ-ぶ,call; call out to; invoke; summon; invite; attract; send for; name; designate; bring about,79473,591
1927,命,8,3,2,メイ、ミョウ、いのち,command; decree; destiny; life; ,118516,418
2129,和,8,3,2,ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか,sum; peace; harmony; reconciliation; unity ,259765,176
732,咲,9,7,2,さ-く,-,10457,1412
49,咽,9,7,-,イン,be choked; be smothered,462,2045
2,哀,9,7,1,アイ、あわ-れ、あわ-れむ,pity; have mercy on; sympathize with,4792,1668
1729,品,9,3,3,ヒン、しな,refinement; dignity; article ,221436,226
51,員,10,3,3,イン,member; number; the one in charge,545063,59
1468,哲,10,7,1,テツ,clear,27950,1015
1819,哺,10,7,-,ホ,taking in the mouth,315,2079
62,唄,10,7,-,[うた],-,2270,1852
687,唆,10,7,1,サ、そそのか-す,tempt; seduce; instigate; promote,9869,1434
1052,唇,10,7,1,シン、くちびる,lip,1330,1930
1509,唐,10,7,1,トウ、から,Tang (dynasty); China; foreign countries. Chinese; Korean; Foreign,6605,1563
1970,唯,11,7,1,ユイ、[イ],only; merely; solely; simply ,11191,1381
981,唱,11,4,1,ショウ、とな-える,recite; chant; call upon; cry; yell (banzai); advocate; preach; quote (prices) ,15042,1272
1289,唾,11,7,-,ダ、つば,sputum; saliva,349,2068
982,商,11,3,2,ショウ、あきな-う,trade; merchant; quotient,106813,461
1951,問,11,3,3,モン、と-う、と-い、[とん],question; problem; subject; discussion ,433896,85
480,啓,11,7,1,ケイ,open; say,14249,1298
1198,善,12,6,1,ゼン、よ-い,good; goodness; right; virtue,58196,712
633,喉,12,7,-,コウ、のど,throat; voice,510,2037
264,喚,12,7,1,カン,cry; scream; yell; shout; clamor,4705,1678
325,喜,12,4,2,キ、よろこ-ぶ,rejoice; be glad; be pleased,59165,704
235,喝,11,7,1,カツ,scold; get hoarse,3366,1764
1965,喩,12,7,-,ユ,compare; illustrate; speak figuratively,333,2071
1238,喪,12,7,1,ソウ、も,mourning,15053,1271
352,喫,12,7,2,キツ,eat; drink; smoke; receive (a blow; etc.),12168,1359
73,営,12,5,2,エイ、いとな-む,camp; performing,176041,276
379,嗅,13,7,-,キュウ、か-ぐ,smell; sniff; scent,320,2078
796,嗣,13,7,1,シ,heir,2603,1824
1342,嘆,13,7,1,タン、なげ-く、なげ-かわしい,sigh,5929,1599
1036,嘱,15,7,1,ショク,requesting,1833,1881
1412,嘲,15,7,-,チョウ、あざけ-る,rudicule; insult,357,2066
334,器,15,4,2,キ、うつわ,container; utensil; instrument; tool; apparatus; set; ability,96315,500
1781,噴,15,7,1,フン、ふ-く,spout; emit; flush out,11160,1382
224,嚇,17,7,-,カク,threaten; frighten; intimidate,928,1979
884,囚,5,7,1,シュウ,criminal; arrest,4408,1696
767,四,5,1,4,シ、よ、よ-つ、よっ-つ、よん,four,101707,481
173,回,6,2,2,カイ、[エ]、まわ-る、まわ-す,time; round; game; bout; heat; inning; innings; go around,680362,31
48,因,6,5,2,イン、よ-る,cause; factor,72152,624
1347,団,6,5,2,ダン、[トン],body; group; corps; gang; party; company; troupe; circle,232277,204
671,困,7,6,2,コン、こま-る,be distressed be in trouble; be destitute; be embarrassed; be perplexed; be annoyed ,35845,928
18,囲,7,4,2,イ、かこ-む、かこ-う,enclosure,58559,709
