Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
5444,拝見,はいけん,humbly look at or see,JLPT3,Verbal Noun
4215,控える,ひかえる,hold back; show moderation,JLPT1,Verb
5848,控え室,ひかえしつ,waiting room,JLPT0,Noun
3601,コンセント,コンセント,outlet; wall socket,JLPT2,Noun
5036,当番,とうばん,being on duty; person on duty,JLPT2,Noun
5487,見違える,みちがえる,mistake; fail to recognize,JLPT0,Verb
5879,ほうき,ほうき,broom,JLPT0,Noun
2948,差し出す,さしだす,submit; stretch out,JLPT1,Verb
3729,少女,しょうじょ,girl,JLPT2,Noun
3737,上,じょう,upper; best,JLPT2,Noun
5196,弱み,よわみ,weakness; shortcoming,JLPT0,Noun
5580,握り締める,にぎりしめる,squeeze; grip,JLPT0,Verb
5706,両手,りょうて,both hands,JLPT0,Noun
2070,設備,せつび,equipment; facilities,JLPT2,Verbal Noun
2133,各種,かくしゅ,each kind; various,JLPT1,Noun
4236,揃う,そろう,be (all) together,JLPT2,Verb
4463,道具,どうぐ,tool,JLPT3,Noun
3748,括弧,かっこ,parentheses; brackets,JLPT2,Verbal Noun
4535,マーケット,マーケット,market,JLPT2,Noun
2952,オーケストラ,オーケストラ,orchestra; orchestral music,JLPT2,Noun
2967,指揮,しき,command; initiative,JLPT1,Verbal Noun
2599,輝く,かがやく,shine brilliantly; glitter,JLPT2,Verb
2230,抑える,おさえる,suppress; bring under control,JLPT0,Verb
5338,欲求,よっきゅう,want; desire,JLPT0,Verbal Noun
2839,信仰,しんこう,faith; religious belief,JLPT2,Verbal Noun
4430,定年,ていねん,mandatory retirement age,JLPT1,Noun
5159,出迎え,でむかえ,meeting; receiving,JLPT2,Noun
5188,保育園,ほいくえん,day-care center; nursery school,JLPT0,Noun
5191,迎え,むかえ,greeting; meeting,JLPT2,Noun
4534,遂げる,とげる,accomplish; achieve,JLPT1,Verb
4885,目覚ましい,めざましい,striking; marvelous,JLPT0,Adjective
4795,巡る,めぐる,go round; circulate,JLPT2,Verb
2688,偶然,ぐうぜん,chance; accident,JLPT2,Adjectival Noun
3645,偶数,ぐうすう,even number,JLPT2,Noun
3976,隅,すみ,nook; corner,JLPT3,Noun
3970,城,しろ,castle; fort,JLPT2,Noun
2577,栽培,さいばい,cultivation; raising,JLPT1,Verbal Noun
2398,警戒,けいかい,vigilance; precaution,JLPT1,Verbal Noun
2387,挙げる,あげる,cite; give (an example),JLPT0,Verb
3736,幾ら,いくら,no matter how much,JLPT2,Adverb
3460,伺う,うかがう,politely ask,JLPT2,Verb
4349,俳句,はいく,haiku,JLPT2,Noun
4559,俳優,はいゆう,actor; actress,JLPT2,Noun
4278,動作,どうさ,movements; actions,JLPT2,Noun
4530,敏感,びんかん,sensitive,JLPT1,Adjectival Noun
3424,後悔,こうかい,regret,JLPT1,Verbal Noun
3519,悔しい,くやしい,vexing; frustrating,JLPT2,Adjective
3739,今更,いまさら,now; too late,JLPT0,Adverb
5376,倣う,ならう,copy; follow an example,JLPT2,Verb
2579,俺,おれ,I; me,JLPT1,Noun
4584,ロック,ロック,rock (music),JLPT0,Noun
4930,反感,はんかん,ill feeling; antipathy,JLPT1,Noun
5134,振り向く,ふりむく,turn around; look back,JLPT2,Verb
2154,性格,せいかく,character; personality,JLPT2,Noun
3121,一部分,いちぶぶん,part; portion,JLPT1,Noun
3244,肯定,こうてい,affirmation,JLPT2,Verbal Noun
3541,空っぽ,からっぽ,empty,JLPT2,Adjectival Noun
3666,オルガン,オルガン,organ; pipe organ,JLPT2,Noun
3672,辛い,からい,strict; severe,JLPT4,Adjective
3782,書き取り,かきとり,dictation,JLPT0,Noun
4671,本気,ほんき,seriousness; earnestness,JLPT1,Adjectival Noun
5416,つかむ,つかむ,grip; grab,JLPT0,Verb
3977,相撲,すもう,sumo wrestling,JLPT2,Noun
4939,入門,にゅうもん,initiation,JLPT0,Noun
5226,不平,ふへい,discontent; dissatisfaction,JLPT2,Adjectival Noun
4524,寮,りょう,dormitory; lodging house,JLPT2,Noun
3063,偏る,かたよる,be one-sided; deviate,JLPT0,Verb
5136,偏見,へんけん,prejudice; biased view,JLPT1,Noun
3829,一遍に,いっぺんに,all at once,JLPT0,Adverb
5805,何遍,なんべん,how many times,JLPT0,Noun
5306,程,ほど,extent; limit,JLPT2,Noun
4500,掘る,ほる,dig; unearth,JLPT2,Verb
2394,宗教,しゅうきょう,religion,JLPT2,Noun
4207,宣伝,せんでん,publicity; advertisement,JLPT2,Verbal Noun
2048,審議,しんぎ,deliberation; consideration,JLPT1,Verbal Noun
